Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
99,,CASH,Candy ,Candy ,0.00,25.49,Drive Box,8/25/25 9:18 AM,8/25/25 9:11 AM
81,32,CREDIT,Rosa,Rosa,0.00,18.80,,8/25/25 9:19 AM,8/25/25 8:54 AM
101,,CREDIT,Candy ,Candy ,0.00,10.68,,8/25/25 9:21 AM,8/25/25 9:16 AM
77,34,CREDIT,Maria,Maria,5.00,37.46,,8/25/25 9:21 AM,8/25/25 8:51 AM
105,,CREDIT,Candy ,Candy ,0.00,8.73,,8/25/25 9:22 AM,8/25/25 9:18 AM
107,,CASH,Candy ,Candy ,0.00,10.89,Drive Box,8/25/25 9:23 AM,8/25/25 9:19 AM
109,,CREDIT,Candy ,Candy ,2.00,18.83,,8/25/25 9:24 AM,8/25/25 9:21 AM
88,37,CREDIT,Silvia,Ivana,0.00,23.16,,8/25/25 9:25 AM,8/25/25 8:59 AM
113,,CREDIT,Maria,,1.44,10.37,,8/25/25 9:28 AM,8/25/25 9:24 AM
111,,CREDIT,Candy ,Candy ,0.00,14.24,,8/25/25 9:28 AM,8/25/25 9:22 AM
116,,CREDIT,Candy ,Candy ,0.00,5.40,,8/25/25 9:30 AM,8/25/25 9:30 AM
80,22,CREDIT,Silvia,,5.11,36.86,,8/25/25 9:31 AM,8/25/25 8:56 AM
98,23,CREDIT,Silvia,,2.50,18.00,,8/25/25 9:32 AM,8/25/25 9:10 AM
115,,CASH,Candy ,Candy ,0.00,2.15,Drive Box,8/25/25 9:32 AM,8/25/25 9:30 AM
117,,CASH,Candy ,Candy ,0.00,11.86,Drive Box,8/25/25 9:33 AM,8/25/25 9:31 AM
97,35,CREDIT,Rosa,Rosa,0.00,24.63,,8/25/25 9:34 AM,8/25/25 9:09 AM
119,,CREDIT,Candy ,Candy ,2.00,10.78,,8/25/25 9:36 AM,8/25/25 9:35 AM
118,24,CREDIT,Maria,Maria,3.00,11.86,,8/25/25 9:37 AM,8/25/25 9:34 AM
92,24,CREDIT,Maria,Maria,2.00,15.99,,8/25/25 9:37 AM,8/25/25 9:08 AM
121,,CREDIT,Candy ,Candy ,0.00,23.57,,8/25/25 9:39 AM,8/25/25 9:36 AM
122,,CASH,Candy ,Candy ,0.00,23.76,Drive Box,8/25/25 9:44 AM,8/25/25 9:36 AM
124,,CREDIT,Candy ,Candy ,0.00,4.30,,8/25/25 9:47 AM,8/25/25 9:39 AM
125,,CREDIT,Candy ,Candy ,0.00,32.56,,8/25/25 9:48 AM,8/25/25 9:41 AM
106,25,CREDIT,Silvia,Silvia,6.00,23.33,,8/25/25 9:51 AM,8/25/25 9:20 AM
130,,CREDIT,Candy ,Candy ,5.00,15.16,,8/25/25 9:53 AM,8/25/25 9:48 AM
110,20,CREDIT,Rosa,,0.00,14.05,,8/25/25 9:55 AM,8/25/25 9:22 AM
136,,CREDIT,Candy ,Candy ,1.00,6.97,,8/25/25 9:59 AM,8/25/25 9:53 AM
137,,CREDIT,Candy ,Candy ,0.00,7.12,,8/25/25 10:00 AM,8/25/25 9:55 AM
139,,CASH,Candy ,Candy ,0.00,4.31,Drive Box,8/25/25 10:02 AM,8/25/25 9:59 AM
108,7,CREDIT,Maria,Ivana,0.00,34.22,,8/25/25 10:04 AM,8/25/25 9:24 AM
140,,CASH,Candy ,Candy ,0.00,6.46,Drive Box,8/25/25 10:04 AM,8/25/25 10:00 AM
142,,CREDIT,Candy ,Candy ,0.00,5.39,,8/25/25 10:05 AM,8/25/25 10:01 AM
123,37,CREDIT,Silvia,Ivana,3.00,24.73,,8/25/25 10:05 AM,8/25/25 9:39 AM
147,,CREDIT,Candy ,Candy ,0.00,16.80,,8/25/25 10:07 AM,8/25/25 10:07 AM
127,38,CREDIT,Maria,Maria,2.00,15.99,,8/25/25 10:07 AM,8/25/25 9:43 AM
129,17,CREDIT,Rosa,Rosa,5.00,20.19,,8/25/25 10:08 AM,8/25/25 9:46 AM
145,12,CREDIT,Rosa,,1.83,15.65,,8/25/25 10:08 AM,8/25/25 10:05 AM
